Step	Value
6999	1.5609905403835E-06
7019	1.39560142997652E-06
7055	1.60356535161554E-06
7118	1.48085337059456E-06
7121	1.54149324771424E-06
7127	1.96903192772879E-06
7165	1.83679344445409E-06
7179	1.43723354995018E-06
7208	1.97117924471968E-06
7254	1.77541494394973E-06
7275	2.12448003367172E-06
7309	1.53243797740288E-06
7339	1.58050249865482E-06
7354	1.69486315826362E-06
7368	1.44644309330033E-06
7425	2.0866623344773E-06
7436	1.38069731292489E-06
7437	1.89699710517743E-06
7465	1.77775382326217E-06
7469	1.44988416650449E-06
7471	1.7027177818818E-06
7483	1.59272974542546E-06
7507	2.11501151170523E-06
7519	1.99774308384804E-06
7527	3.51512062479742E-06
7533	2.00755948753795E-06
7544	1.45379453897476E-06
7552	2.25249777940917E-06
7554	1.2874187405032E-06
7594	1.82319399755215E-06
7603	1.93244409274485E-06
7605	1.68002179634641E-06
7608	1.87130626727594E-06
7639	1.98029624698393E-06
7645	1.63773415806645E-06
7661	1.54154326992284E-06
7728	1.96022915588401E-06
7731	1.61936748099834E-06
7757	1.51042820561997E-06
7795	1.61164530254609E-06
7796	1.70737018834188E-06
7822	1.60491799761076E-06
7839	2.50450193561846E-06
7851	1.69691702467389E-06
7856	1.56810051521461E-06
7857	1.40979636853444E-06
7863	2.0123459307797E-06
7896	1.6225349099841E-06
7902	1.80800384441682E-06
7930	1.65547544384026E-06
7987	1.23341976632219E-06
8047	2.26994757213106E-06
8055	1.81034488377918E-06
8079	1.82864675934979E-06
8097	1.7265632550334E-06
8123	1.68994029081659E-06
8145	2.23691131395753E-06
8164	2.1818764253112E-06
8165	1.21255254725838E-06
8193	1.28853321257338E-06
8217	1.20700826755638E-06
8230	1.16262219762575E-06
8256	1.33726871354156E-06
8278	1.66504742082907E-06
8284	1.76669425400178E-06
8292	1.60902925472328E-06
8297	2.00951490114676E-06
8353	1.71519866398739E-06
8364	2.20370043280127E-06
8378	1.98191423805838E-06
8398	1.20613913168199E-06
8412	1.32812238007318E-06
8417	1.35253117150569E-06
8492	1.66715835803188E-06
8522	2.03330819203984E-06
8549	2.37311996897915E-06
8555	1.35742470774858E-06
8564	1.70042983427265E-06
8619	1.44446300964773E-06
8628	1.69191548593517E-06
8660	1.2833901337217E-06
8664	1.93699065675901E-06
8695	1.39397502607608E-06
8701	1.57141766976565E-06
8719	1.45822286867769E-06
8725	1.26113491205615E-06
8753	1.13038129256893E-06
8755	1.6110633396238E-06
8777	1.61316290814284E-06
8779	1.1592236432989E-06
8824	1.10417238374794E-06
8834	1.46103138831677E-06
8866	1.16871171940147E-06
8871	1.94934568753524E-06
8878	1.26669431210757E-06
8889	1.57902400133025E-06
8918	1.75619493347767E-06
8922	2.00247427528666E-06
8986	1.95453662854561E-06
8991	1.69091845236835E-06
9007	1.45286992392357E-06
9034	2.01069519789598E-06
9050	1.45213778068865E-06
9059	1.57828367264301E-06
9071	1.61116599883826E-06
9118	1.47791888593929E-06
9122	1.45171907206532E-06
9153	1.39640610541392E-06
9191	1.37212191475555E-06
9204	1.51981544149749E-06
9213	2.00444219444762E-06
9223	1.5623057834091E-06
9227	1.03295610642817E-06
9253	2.12694203582942E-06
9292	1.82326971298608E-06
9304	1.7373579339619E-06
9306	1.79988069248793E-06
9313	1.26626764540561E-06
9328	1.86239776667207E-06
9346	1.61105299412156E-06
9360	1.94320068658271E-06
9366	1.65598055446026E-06
9373	2.25423855226836E-06
9378	1.77653214450402E-06
9388	1.60435320140095E-06
9444	1.85942042207898E-06
